RCP_SNO,ALREADY,NEED,POINT,PRICE
6879807,"[['무', 500], ['당근', 500], ['양파', 500], ['고추', 500]]","[[' 멥쌀 ', 0, 0], [' 찹쌀 ', 0, 0], [' 굴 ', 0, 0], [' 연근 ', 0, 0], [' 우엉 ', 0, 0], [' 다시마육수 ', 0, 0], [' 들기름 ', 0, 0], [' 간장 ', 0, 0], [' 쪽파 ', 0, 0], [' 통깨 ', 0, 0], [' 참기름 ', 0, 0]]",4.0,0.0
6875183,"[['무', 500], ['당근', 500], ['양파', 500], ['고추', 500]]","[[' 달걀 ', 0, 0]]",4.0,0.0
6831995,"[['양파', 500], ['당근', 500], ['고추', 500], ['무', 500]]","[[' 멸치 ', 0, 0], [' 다시마 ', 0, 0], [' 표고 ', 0, 0], [' 온수 ', 0, 0], [' 가지 ', 0, 0], [' 진간장 ', 0, 0], [' 미림 ', 0, 0], [' 정종 ', 0, 0], [' 가다랭포 ', 0, 0], [' 설탕 ', 0, 0], [' 혼다시 ', 0, 0], [' 멸치 다시다 ', 0, 0]]",4.0,0.0
6943672,"[['무', 500], ['당근', 500], ['고추', 500], ['양파', 500]]","[[' 묵은지 ', 0, 0], [' 쌀밥 ', 0, 0], ['고추', 7.5, 81.0], [' 된장 ', 0, 0], [' 참기름 ', 0, 0], [' 통깨 ', 0, 0]]",4.0,81.0
6946007,"[['양파', 500], ['당근', 500], ['무', 500], ['고추', 500]]","[[' 가자미 ', 0, 0], [' 애호박 ', 0, 0], [' 땡초 ', 0, 0], [' 된장 ', 0, 0], [' 진간장 ', 0, 0], [' 매실 ', 0, 0], [' 설탕 ', 0, 0], ['마늘', 15.0, 183.0]]",4.0,183.0
6874959,"[['당근', 500], ['양파', 500], ['무', 500], ['고추', 500]]","[[' 다진쪽파 ', 0, 0], ['마늘', 15.0, 183.0], [' 카레가루 ', 0, 0], [' 찹쌀가루 ', 0, 0]]",4.0,183.0
6929901,"[['무', 500], ['양파', 500], ['당근', 500], ['고추', 500]]","[[' 쪽파 ', 0, 0], [' 갈은 흰밥 ', 0, 0], [' 멸치액젓 ', 0, 0], [' 새우젓 ', 0, 0], ['마늘', 45.0, 549.0], [' 다진생강 ', 0, 0], [' 참치액 ', 0, 0], [' 매실청 ', 0, 0], [' 깨 ', 0, 0]]",4.0,549.0
6941996,"[['당근', 500], ['양파', 500], ['무', 500], ['고추', 500]]","[[' 불린쌀 ', 0, 0], ['계란', 272.0, 1088.0], [' 닭가슴살 ', 0, 0], [' 애호박 ', 0, 0], [' 진간장 ', 0, 0], [' 참기름 ', 0, 0], [' 깨소금 ', 0, 0], [' 청주 ', 0, 0], [' 굴소스 ', 0, 0]]",4.0,1088.0
6854640,"[['고추', 500], ['양파', 500], ['무', 500], ['당근', 500]]","[[' 우엉 ', 0, 0], [' 식초 ', 0, 0], ['고추', 78.0, 842.0], [' 솔치 ', 0, 0], ['고추', 130.0, 1404.0], [' 사과말랭이 ', 0, 0], [' 생강 ', 0, 0], [' 단호박말랭이 ', 0, 0], [' 육수 ', 0, 0], [' 간장 ', 0, 0], [' 참치액 ', 0, 0], [' 매실청 ', 0, 0]]",4.0,2246.0
6916254,"[['무', 500], ['양파', 500], ['당근', 500], ['고추', 500]]","[['고추', 78.0, 842.0], ['고추', 90.0, 972.0], ['마늘', 45.0, 549.0], [' 액젓 ', 0, 0], [' 매실 ', 0, 0], [' 밀가루풀 ', 0, 0], [' 생수 ', 0, 0], [' 설탕 ', 0, 0], [' 꽃소금 ', 0, 0]]",4.0,2363.0
