,item_name,item_code,kind_code,rank,rank_code,unit,day1,dpr1
0,쌀 일반계(20kg),111,1,상품,4,1,당일 (04/28),2.5
1,찹쌀 일반계(1kg),112,1,상품,4,1,당일 (04/28),3.6
2,콩 흰 콩(국산)(500g),141,1,상품,4,1,당일 (04/28),10.7
3,팥 붉은 팥(국산)(500g),142,0,상품,4,1,당일 (04/28),15.1
4,녹두 국산(500g),143,0,상품,4,1,당일 (04/28),20.9
5,고구마 밤(1kg),151,0,상품,4,1,당일 (04/28),5.8
6,감자 수미(100g),152,1,상품,4,1,당일 (04/28),6.6
7,배추 월동(1포기),211,6,상품,4,1,당일 (04/28),1.1
8,양배추 양배추(1포기),212,0,상품,4,1,당일 (04/28),1.2
9,시금치 시금치(1kg),213,0,상품,4,1,당일 (04/28),5.8
10,상추 적(100g),214,1,상품,4,1,당일 (04/28),10.8
11,상추 청(100g),214,2,상품,4,1,당일 (04/28),11.5
12,얼갈이배추 얼갈이배추(1kg),215,0,상품,4,1,당일 (04/28),2.6
13,수박 수박(1개),221,0,상품,4,1,당일 (04/28),2.2
14,참외 참외(10개),222,0,상품,4,1,당일 (04/28),6.8
15,오이 가시계통(10개),223,1,상품,4,1,당일 (04/28),5.7
16,오이 다다기계통(10개),223,2,상품,4,1,당일 (04/28),3.2
17,오이 취청(10개),223,3,상품,4,1,당일 (04/28),4.6
18,호박 애호박(1개),224,1,상품,4,1,당일 (04/28),3.5
19,호박 쥬키니(1개),224,2,상품,4,1,당일 (04/28),2.6
20,토마토 토마토(1kg),225,0,상품,4,1,당일 (04/28),5.2
21,딸기 딸기(100g),226,0,상품,4,1,당일 (04/28),11.1
22,무 월동(1개),231,6,상품,4,1,당일 (04/28),1.0
23,당근 무세척(1kg),232,1,상품,4,1,당일 (04/28),4.8
24,열무 열무(1kg),233,0,상품,4,1,당일 (04/28),2.5
25,건고추 화건(600g),241,0,상품,4,1,당일 (04/28),31.6
26,건고추 양건(600g),241,2,상품,4,1,당일 (04/28),33.0
27,풋고추 풋고추(100g),242,0,상품,4,1,당일 (04/28),17.4
28,풋고추 꽈리고추(100g),242,2,상품,4,1,당일 (04/28),15.6
29,풋고추 청양고추(100g),242,3,상품,4,1,당일 (04/28),10.8
30,풋고추 오이맛고추(150g),242,4,상품,4,1,당일 (04/28),17.5
31,붉은고추 붉은고추(100g),243,0,상품,4,1,당일 (04/28),30.9
32,양파 양파(1kg),245,0,상품,4,1,당일 (04/28),2.1
33,파 대파(1kg),246,0,상품,4,1,당일 (04/28),2.7
34,파 쪽파(1kg),246,2,상품,4,1,당일 (04/28),6.9
35,생강 국산(1kg),247,0,상품,4,1,당일 (04/28),14.3
36,고춧가루 국산(1kg),248,0,상품,4,1,당일 (04/28),35.9
37,고춧가루 중국(1kg),248,1,상품,4,1,당일 (04/28),14.2
38,미나리 미나리(100g),252,0,상품,4,1,당일 (04/28),11.8
39,깻잎 깻잎(100g),253,0,상품,4,1,당일 (04/28),25.6
40,피망 청(100g),255,0,상품,4,1,당일 (04/28),14.8
41,파프리카 파프리카(200g),256,0,상품,4,1,당일 (04/28),8.2
42,멜론 멜론(1개),257,0,상품,4,1,당일 (04/28),7.6
43,깐마늘(국산) 깐마늘(국산)(1kg),258,1,상품,4,1,당일 (04/28),12.2
44,방울토마토 방울토마토(1kg),422,1,상품,4,1,당일 (04/28),7.9
45,방울토마토 대추방울토마토(1kg),422,2,상품,4,1,당일 (04/28),6.4
46,참깨 백색(국산)(500g),312,1,상품,4,1,당일 (04/28),39.2
47,땅콩 국산(100g),314,1,상품,4,1,당일 (04/28),28.4
48,느타리버섯 느타리버섯(100g),315,0,상품,4,1,당일 (04/28),13.0
49,느타리버섯 애느타리버섯(100g),315,1,상품,4,1,당일 (04/28),5.6
50,팽이버섯 팽이버섯(150g),316,0,상품,4,1,당일 (04/28),3.7
51,새송이버섯 새송이버섯(100g),317,0,상품,4,1,당일 (04/28),6.5
52,사과 후지(10개),411,5,상품,4,1,당일 (04/28),7.0
53,배 신고(10개),412,1,상품,4,1,당일 (04/28),45.0
54,포도 레드글로브 칠레(1kg),414,8,상품,4,1,당일 (04/28),8.3
55,바나나 수입(100g),418,2,상품,4,1,당일 (04/28),3.6
56,파인애플 수입(1개),420,2,상품,4,1,당일 (04/28),3.8
57,오렌지 네이블 미국(10개),421,3,상품,4,1,당일 (04/28),5.7
58,레몬 수입(10개),424,0,상품,4,1,당일 (04/28),6.1
59,망고 수입(1개),428,0,상품,4,1,당일 (04/28),11.9
60,아보카도 수입(1개),430,0,상품,4,1,당일 (04/28),10.7
61,소 안심,4301,21,1++등급,1,1,당일 (04/28),142.9
62,소 등심,4301,22,1++등급,1,1,당일 (04/28),143.7
63,소 설도,4301,36,1++등급,1,1,당일 (04/28),55.6
64,소 양지,4301,40,1++등급,1,1,당일 (04/28),62.1
65,소 갈비,4301,50,1++등급,1,1,당일 (04/28),88.8
66,돼지 앞다리,4304,25,앞다리,0,1,당일 (04/28),12.6
67,돼지 삼겹살,4304,27,삼겹살,0,1,당일 (04/28),24.8
68,돼지 갈비,4304,28,갈비,0,1,당일 (04/28),12.5
69,돼지 목심,4304,68,목심,0,1,당일 (04/28),22.9
70,수입 소고기 갈비,4401,31,미국산,81,1,당일 (04/28),37.1
71,수입 소고기 갈비,4401,31,호주산,82,1,당일 (04/28),40.6
72,수입 소고기 갈비살,4401,37,미국산,81,1,당일 (04/28),45.9
73,수입 돼지고기 삼겹살,4402,27,삼겹살,0,1,당일 (04/28),14.6
74,닭 육계(kg),9901,99,육계(kg),0,1,당일 (04/28),6.2
75,계란 특란30구,9903,23,등급란,72,1,당일 (04/28),4.0
76,우유 흰우유,9908,1,흰우유,0,1,당일 (04/28),2.9
77,고등어 국산(신선 냉장)(1마리),611,5,大,20,1,당일 (04/28),6.5
78,갈치 국산(냉장)(1마리),613,3,中,21,1,당일 (04/28),36.4
79,건미역 건미역(100g),642,0,상품,4,1,당일 (04/28),28.5
80,새우젓 새우젓(1kg),650,0,상품,4,1,당일 (04/28),18.7
81,멸치액젓 멸치액젓(1kg),651,0,상품,4,1,당일 (04/28),5.9
82,굵은소금 굵은소금(5kg),652,0,상품,4,1,당일 (04/28),2.6
