,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
0,참깨,312,백색(국산)(500g),01,상품,04,500g,당일 (04/26),"19,600",1일전 (04/25),"19,600",1주일전 (04/19),"19,600",2주일전 (04/12),"19,600",1개월전,"19,600",1년전,"17,533",일평년,"16,525"
1,참깨,312,중국(500g),02,중품,05,500g,당일 (04/26),"4,580",1일전 (04/25),"4,580",1주일전 (04/19),"4,580",2주일전 (04/12),"4,655",1개월전,"4,655",1년전,"3,985",일평년,"3,411"
2,땅콩,314,국산(100g),01,상품,04,100g,당일 (04/26),"2,863",1일전 (04/25),"2,863",1주일전 (04/19),"2,813",2주일전 (04/12),"2,765",1개월전,"2,821",1년전,"2,697",일평년,"2,362"
3,땅콩,314,수입(100g),02,중품,05,100g,당일 (04/26),908,1일전 (04/25),908,1주일전 (04/19),908,2주일전 (04/12),872,1개월전,872,1년전,864,일평년,829
4,느타리버섯,315,느타리버섯(100g),00,상품,04,100g,당일 (04/26),"1,367",1일전 (04/25),"1,367",1주일전 (04/19),"1,467",2주일전 (04/12),"1,400",1개월전,"1,467",1년전,"1,351",일평년,"1,165"
5,느타리버섯,315,애느타리버섯(100g),01,상품,04,100g,당일 (04/26),489,1일전 (04/25),489,1주일전 (04/19),569,2주일전 (04/12),576,1개월전,565,1년전,507,일평년,477
6,팽이버섯,316,팽이버섯(150g),00,상품,04,150g,당일 (04/26),570,1일전 (04/25),576,1주일전 (04/19),567,2주일전 (04/12),547,1개월전,534,1년전,591,일평년,475
7,새송이버섯,317,새송이버섯(100g),00,상품,04,100g,당일 (04/26),656,1일전 (04/25),656,1주일전 (04/19),587,2주일전 (04/12),579,1개월전,623,1년전,556,일평년,539
8,새송이버섯,317,새송이버섯(100g),00,중품,05,100g,당일 (04/26),500,1일전 (04/25),500,1주일전 (04/19),500,2주일전 (04/12),500,1개월전,507,1년전,471,일평년,449
9,호두,318,수입(100g),00,중품,05,100g,당일 (04/26),"1,504",1일전 (04/25),"1,504",1주일전 (04/19),"1,504",2주일전 (04/12),"1,540",1개월전,"1,529",1년전,"1,605",일평년,"1,624"
10,아몬드,319,수입(100g),00,중품,05,100g,당일 (04/26),"1,533",1일전 (04/25),"1,533",1주일전 (04/19),"1,533",2주일전 (04/12),"1,570",1개월전,"1,479",1년전,"1,461",일평년,"1,469"
