,item_name,item_code,kind_code,rank,rank_code,unit,day1,dpr1
0,고등어 국산(신선 냉장)(1마리),611,5,大,20,1,당일 (04/24),12988
1,고등어 국산(냉동)(1마리),611,6,大,20,1,당일 (04/24),11368
2,갈치 국산(냉장)(1마리),613,3,中,21,1,당일 (04/24),38840
3,갈치 국산(냉동)(1마리),613,4,中,21,1,당일 (04/24),18680
4,조기 참조기(냉동)(1마리),614,6,中,21,1,당일 (04/24),4690
5,조기 참조기(냉동)(1마리),614,6,小,22,1,당일 (04/24),3477
6,명태 수입산(냉동)(1마리),615,4,大,20,1,당일 (04/24),6979
7,물오징어 연근해(냉동)(1마리),619,4,中,21,1,당일 (04/24),12632
8,물오징어 연근해(냉동)(1마리),619,4,小,22,1,당일 (04/24),10288
9,물오징어 원양(냉동)(1마리),619,5,中,21,1,당일 (04/24),8812
10,물오징어 원양(냉동)(1마리),619,5,小,22,1,당일 (04/24),7025
11,건미역 건미역(100g),642,0,상품,4,1,당일 (04/24),27760
12,새우젓 새우젓(1kg),650,0,상품,4,1,당일 (04/24),18727
13,멸치액젓 멸치액젓(1kg),651,0,상품,4,1,당일 (04/24),5895
14,굵은소금 굵은소금(5kg),652,0,상품,4,1,당일 (04/24),2650
