,item_name,item_code,price,weight
0,쌀 일반계(20kg),111,,
1,찹쌀 일반계(1kg),112,,
2,콩 흰 콩(국산)(500g),141,,
3,팥 붉은 팥(국산)(500g),142,,
4,녹두 국산(500g),143,,
5,고구마 밤(1kg),151,,
6,감자 수미(100g),152,1848.0,280.0
7,배추 월동(1포기),211,,
8,양배추 양배추(1포기),212,,
9,시금치 시금치(1kg),213,,
10,상추 적(100g),214,,
11,상추 청(100g),214,,
12,얼갈이배추 얼갈이배추(1kg),215,,
13,수박 수박(1개),221,,
14,참외 참외(10개),222,,
15,오이 가시계통(10개),223,,
16,오이 다다기계통(10개),223,,
17,오이 취청(10개),223,,
18,호박 애호박(1개),224,,
19,호박 쥬키니(1개),224,,
20,토마토 토마토(1kg),225,,
21,딸기 딸기(100g),226,,
22,무 월동(1개),231,,
23,당근 무세척(1kg),232,,
24,열무 열무(1kg),233,,
25,건고추 화건(600g),241,,
26,건고추 양건(600g),241,,
27,풋고추 풋고추(100g),242,,
28,풋고추 꽈리고추(100g),242,,
29,풋고추 청양고추(100g),242,,
30,풋고추 오이맛고추(150g),242,,
31,붉은고추 붉은고추(100g),243,,
32,양파 양파(1kg),245,2.0,1.0
33,파 대파(1kg),246,2697.0,999.0
34,파 쪽파(1kg),246,6893.0,999.0
35,생강 국산(1kg),247,,
36,고춧가루 국산(1kg),248,,
37,고춧가루 중국(1kg),248,,
38,미나리 미나리(100g),252,,
39,깻잎 깻잎(100g),253,,
40,피망 청(100g),255,,
41,파프리카 파프리카(200g),256,,
42,멜론 멜론(1개),257,,
43,깐마늘(국산) 깐마늘(국산)(1kg),258,,
44,방울토마토 방울토마토(1kg),422,,
45,방울토마토 대추방울토마토(1kg),422,,
46,참깨 백색(국산)(500g),312,,
47,땅콩 국산(100g),314,,
48,느타리버섯 느타리버섯(100g),315,,
49,느타리버섯 애느타리버섯(100g),315,,
50,팽이버섯 팽이버섯(150g),316,,
51,새송이버섯 새송이버섯(100g),317,2164.0,333.0
52,사과 후지(10개),411,,
53,배 신고(10개),412,,
54,포도 레드글로브 칠레(1kg),414,,
55,바나나 수입(100g),418,,
56,파인애플 수입(1개),420,,
57,오렌지 네이블 미국(10개),421,,
58,레몬 수입(10개),424,,
59,망고 수입(1개),428,,
60,아보카도 수입(1개),430,,
61,소 안심,4301,,
62,소 등심,4301,,
63,소 설도,4301,,
64,소 양지,4301,,
65,소 갈비,4301,,
66,돼지 앞다리,4304,,
67,돼지 삼겹살,4304,,
68,돼지 갈비,4304,,
69,돼지 목심,4304,,
70,수입 소고기 갈비,4401,,
71,수입 소고기 갈비,4401,,
72,수입 소고기 갈비살,4401,,
73,수입 돼지고기 삼겹살,4402,,
74,닭 육계(kg),9901,,
75,계란 특란30구,9903,,
76,우유 흰우유,9908,,
77,고등어 국산(신선 냉장)(1마리),611,,
78,갈치 국산(냉장)(1마리),613,,
79,건미역 건미역(100g),642,,
80,새우젓 새우젓(1kg),650,,
81,멸치액젓 멸치액젓(1kg),651,,
82,굵은소금 굵은소금(5kg),652,,
