,item_name,item_code,kind_code,rank,rank_code,unit,day1,dpr1
0,쌀 일반계(20kg),111,1,상품,4,1,당일 (04/26),2485
1,찹쌀 일반계(1kg),112,1,상품,4,1,당일 (04/26),3580
2,콩 흰 콩(국산)(500g),141,1,상품,4,1,당일 (04/26),11952
3,팥 붉은 팥(국산)(500g),142,0,상품,4,1,당일 (04/26),14808
4,녹두 국산(500g),143,0,상품,4,1,당일 (04/26),20910
5,고구마 밤(1kg),151,0,상품,4,1,당일 (04/26),5505
6,감자 수미(100g),152,1,상품,4,1,당일 (04/26),6630
7,배추 월동(1포기),211,6,상품,4,1,당일 (04/26),1100
8,양배추 양배추(1포기),212,0,상품,4,1,당일 (04/26),1141
9,시금치 시금치(1kg),213,0,상품,4,1,당일 (04/26),5834
10,상추 적(100g),214,1,상품,4,1,당일 (04/26),11500
11,상추 청(100g),214,2,상품,4,1,당일 (04/26),11770
12,얼갈이배추 얼갈이배추(1kg),215,0,상품,4,1,당일 (04/26),2824
13,수박 수박(1개),221,0,상품,4,1,당일 (04/26),2415
14,참외 참외(10개),222,0,상품,4,1,당일 (04/26),8081
15,오이 가시계통(10개),223,1,상품,4,1,당일 (04/26),6187
16,오이 다다기계통(10개),223,2,상품,4,1,당일 (04/26),3431
17,오이 취청(10개),223,3,상품,4,1,당일 (04/26),5477
18,호박 애호박(1개),224,1,상품,4,1,당일 (04/26),3781
19,호박 쥬키니(1개),224,2,상품,4,1,당일 (04/26),2283
20,토마토 토마토(1kg),225,0,상품,4,1,당일 (04/26),5431
21,딸기 딸기(100g),226,0,상품,4,1,당일 (04/26),10770
22,무 월동(1개),231,6,상품,4,1,당일 (04/26),1058
23,당근 무세척(1kg),232,1,상품,4,1,당일 (04/26),4901
24,열무 열무(1kg),233,0,상품,4,1,당일 (04/26),2733
25,건고추 화건(600g),241,0,상품,4,1,당일 (04/26),31583
26,건고추 양건(600g),241,2,상품,4,1,당일 (04/26),33000
27,풋고추 풋고추(100g),242,0,상품,4,1,당일 (04/26),23480
28,풋고추 꽈리고추(100g),242,2,상품,4,1,당일 (04/26),18360
29,풋고추 청양고추(100g),242,3,상품,4,1,당일 (04/26),11200
30,풋고추 오이맛고추(150g),242,4,상품,4,1,당일 (04/26),18790
31,붉은고추 붉은고추(100g),243,0,상품,4,1,당일 (04/26),35000
32,양파 양파(1kg),245,0,상품,4,1,당일 (04/26),2409
33,파 대파(1kg),246,0,상품,4,1,당일 (04/26),2950
34,파 쪽파(1kg),246,2,상품,4,1,당일 (04/26),5618
35,생강 국산(1kg),247,0,상품,4,1,당일 (04/26),15321
36,고춧가루 국산(1kg),248,0,상품,4,1,당일 (04/26),33997
37,고춧가루 중국(1kg),248,1,상품,4,1,당일 (04/26),14200
38,미나리 미나리(100g),252,0,상품,4,1,당일 (04/26),13030
39,깻잎 깻잎(100g),253,0,상품,4,1,당일 (04/26),24840
40,피망 청(100g),255,0,상품,4,1,당일 (04/26),14770
41,파프리카 파프리카(200g),256,0,상품,4,1,당일 (04/26),9225
42,멜론 멜론(1개),257,0,상품,4,1,당일 (04/26),9018
43,깐마늘(국산) 깐마늘(국산)(1kg),258,1,상품,4,1,당일 (04/26),12784
44,방울토마토 방울토마토(1kg),422,1,상품,4,1,당일 (04/26),8310
45,방울토마토 대추방울토마토(1kg),422,2,상품,4,1,당일 (04/26),6600
46,참깨 백색(국산)(500g),312,1,상품,4,1,당일 (04/26),39200
47,땅콩 국산(100g),314,1,상품,4,1,당일 (04/26),28630
48,느타리버섯 느타리버섯(100g),315,0,상품,4,1,당일 (04/26),13670
49,느타리버섯 애느타리버섯(100g),315,1,상품,4,1,당일 (04/26),4890
50,팽이버섯 팽이버섯(150g),316,0,상품,4,1,당일 (04/26),3800
51,새송이버섯 새송이버섯(100g),317,0,상품,4,1,당일 (04/26),6560
52,사과 후지(10개),411,5,상품,4,1,당일 (04/26),6709
53,배 신고(10개),412,1,상품,4,1,당일 (04/26),44948
54,포도 레드글로브 칠레(1kg),414,8,상품,4,1,당일 (04/26),8320
55,바나나 수입(100g),418,2,상품,4,1,당일 (04/26),3200
56,파인애플 수입(1개),420,2,상품,4,1,당일 (04/26),3762
57,오렌지 네이블 미국(10개),421,3,상품,4,1,당일 (04/26),6120
58,레몬 수입(10개),424,0,상품,4,1,당일 (04/26),6391
59,망고 수입(1개),428,0,상품,4,1,당일 (04/26),14123
60,아보카도 수입(1개),430,0,상품,4,1,당일 (04/26),11200
61,소 안심,4301,21,1++등급,1,1,당일 (04/26),142760
62,소 등심,4301,22,1++등급,1,1,당일 (04/26),143870
63,소 설도,4301,36,1++등급,1,1,당일 (04/26),55500
64,소 양지,4301,40,1++등급,1,1,당일 (04/26),62250
65,소 갈비,4301,50,1++등급,1,1,당일 (04/26),89190
66,돼지 앞다리,4304,25,앞다리,0,1,당일 (04/26),12630
67,돼지 삼겹살,4304,27,삼겹살,0,1,당일 (04/26),24660
68,돼지 갈비,4304,28,갈비,0,1,당일 (04/26),12500
69,돼지 목심,4304,68,목심,0,1,당일 (04/26),22830
70,수입 소고기 갈비,4401,31,미국산,81,1,당일 (04/26),37110
71,수입 소고기 갈비,4401,31,호주산,82,1,당일 (04/26),40200
72,수입 소고기 갈비살,4401,37,미국산,81,1,당일 (04/26),45640
73,수입 돼지고기 삼겹살,4402,27,삼겹살,0,1,당일 (04/26),14580
74,닭 육계(kg),9901,99,육계(kg),0,1,당일 (04/26),6242
75,계란 특란30구,9903,23,등급란,72,1,당일 (04/26),119333
76,우유 흰우유,9908,1,흰우유,0,1,당일 (04/26),2931
77,고등어 국산(신선 냉장)(1마리),611,5,大,20,1,당일 (04/26),12858
78,갈치 국산(냉장)(1마리),613,3,中,21,1,당일 (04/26),35620
79,건미역 건미역(100g),642,0,상품,4,1,당일 (04/26),27760
80,새우젓 새우젓(1kg),650,0,상품,4,1,당일 (04/26),18727
81,멸치액젓 멸치액젓(1kg),651,0,상품,4,1,당일 (04/26),5895
82,굵은소금 굵은소금(5kg),652,0,상품,4,1,당일 (04/26),2650
