RCP_SNO,SRAP_CNT,ING_INFO
223583,912,감자 당근 양파
225141,2986,양파
225146,1006,오이
420422,1690,양파 토마토
516644,683,대파 마늘 무무
553795,868,고추 마늘 고춧가루 버섯
561422,644,배추 고춧가루
563115,1645,계란 무무
590786,810,
614854,728,대파 마늘 양파 고춧가루 버섯
623805,788,대파 마늘 고춧가루 무무
633232,1068,고추 당근 마늘
654190,1080,고추 당근 마늘 배추 오이 고춧가루
654311,669,양파
655642,914,오이
660876,966,대파 마늘 상추 고춧가루
672814,620,고추 마늘 버섯
675338,768,마늘 오이
676822,720,고추 마늘 양파 삼겹살
682718,736,마늘 양파 오이 고춧가루
688115,1057,고추 당근 대파 마늘 양파
693694,1428,대파 마늘 양파 삼겹살
695402,1183,대파 마늘 고춧가루
700885,760,감자 고추 당근 마늘 고춧가루
701308,603,고추 마늘 고춧가루 무무
702096,927,고추 대파 마늘 양파 고춧가루
702205,934,마늘 양파 오이 고춧가루
705313,850,대파 마늘
708450,682,감자 대파
712864,613,당근 마늘 양파
713135,740,고추 대파 마늘 고춧가루
734622,1106,고추 대파 마늘 고춧가루
735899,722,고추 마늘
743654,694,양파
748800,1504,고추 마늘 배추 양파
765783,1269,
778117,834,당근
781267,1906,고추 마늘
786272,3451,고추 마늘
816581,965,
822267,1098,고구마
825731,1490,감자 고추 대파 마늘 양파 고춧가루
830517,672,
855742,601,고추 마늘
895165,1237,대파 마늘
901038,667,고추 마늘 양파 고춧가루 고등어 무무
905905,1147,마늘 버섯
913370,10532,마늘 양파 고춧가루 무무
916444,749,
922197,1023,
923021,1179,
923960,1281,양파
925692,848,고추
930645,691,감자 마늘 배추 양파 토마토 무무
935290,1257,대파 마늘 고춧가루
938199,839,고추 당근 마늘 양파
964018,614,
988153,805,
991943,2216,대파
997208,805,마늘
1014218,1698,당근 양파 무무
1025732,1226,
1034103,1274,감자 고추 당근 대파 마늘 배추 양파 고춧가루
1034416,637,고추 마늘 양파
1034604,614,고추 대파 마늘 양파 고춧가루
1036160,932,마늘 오이
1048716,762,당근 마늘 양파 버섯
1051346,1154,고추 대파 마늘 양파 고춧가루
1058215,2008,고추 마늘
1062066,726,계란 대파
1083529,883,대파 마늘 버섯
1118095,3382,당근 대파 마늘 배추 양파 버섯
1129239,829,고추 당근 양파 고춧가루
1135209,2035,
1147479,1981,감자 고추 대파 양파 고춧가루 버섯
1151407,833,당근 마늘 양파 버섯
1151700,637,양파 고구마
1166652,2300,감자 고추 당근 마늘 양파
1172845,697,계란
1176470,1404,감자 고추 당근 마늘 양파 고춧가루 버섯
1188746,1405,고추 마늘 고춧가루
1206020,927,감자 당근 대파 마늘 양파 고춧가루 갈비
1206174,1420,고추 당근 대파 마늘 배추 양파 고구마 고춧가루
1254054,953,양파
1256007,1411,
1283997,852,마늘 양파 버섯
1285893,1537,대파 마늘 고춧가루 무무
1296265,948,오이 무무
1296269,633,고추 마늘 갈비
1357518,686,마늘 오이
1376680,1495,마늘 오이 고춧가루
1376689,698,고추 마늘
1376807,804,마늘
1393933,876,마늘 양파
1395916,13837,고추 마늘 양파 고춧가루
1426898,1186,
1441518,5439,
1455180,847,마늘
1475206,1006,계란 고추
1484873,645,마늘 양파 갈비
1499002,701,
1516041,3408,
1525713,800,
1525724,1126,계란
1526299,1133,감자 고추 대파 마늘 양파 고춧가루
1537662,621,
1551595,974,고추 마늘 양파
1553361,675,고추 마늘 양파
1558540,737,고추 마늘 버섯
1572044,929,고추 대파 마늘 고춧가루
1573002,3661,고추 마늘 배추 고춧가루
1573314,847,고추 대파 마늘 양파 버섯
1579656,1688,계란
1584892,646,고추 당근 대파 마늘 양파 고춧가루 버섯
1586162,915,마늘 양파 고춧가루
1586811,758,계란 고추 마늘 양파 고춧가루 버섯
1587429,924,고추 마늘
1588548,703,계란 당근 양파
1590514,620,고추 마늘
1600304,794,고추 당근 마늘 배추 양파 무무
1604199,1311,고추 마늘 양파
1607382,2482,
1612574,606,대파
1615598,972,대파 마늘 고춧가루 무무
1615827,652,고추 마늘
1619715,615,고추 당근 마늘 양파
1629578,898,감자 고추 당근 대파 마늘 양파 고춧가루
1630456,703,양파
1638842,1459,고추 마늘 양파 버섯
1643325,1076,마늘
1645733,613,
1651976,1579,계란 고추 대파 마늘 양파
1654772,926,고추 마늘 양파 버섯
1654815,676,마늘 무무
1659103,5504,마늘
1662070,1025,마늘
1662934,1235,양파 고구마
1669187,2021,당근 마늘 양파 버섯 무무
1670940,639,마늘 버섯
1673914,877,대파 마늘 고춧가루
1675687,1022,고추 배추 양파 고춧가루 버섯
1677973,1603,당근 양파 오이
1678725,995,계란 대파 마늘 고춧가루
1680945,1305,고추 마늘 양파 무무
1681219,1655,고추 배추 양파 오이 고춧가루
1682469,1132,고추 양파
1683844,610,고추 당근 마늘
1689979,1211,계란 고추 대파 마늘 고춧가루
1692808,701,계란 당근 오이
1697618,1334,고추 대파 마늘 양파
1703631,619,계란
