RCP_SNO,SRAP_CNT,ING_INFO
4370822,10241,寸辟 公公
5421866,921,寸辟 公公
3450380,1070,寸辟 公公
6889355,851,寸辟 公公
6892508,933,寸辟 公公
4564586,988,寸辟 公公
5677244,2548,寸辟 公公
6864294,737,寸辟 公公
4340230,832,寸辟 公公
4330674,649,寸辟 公公
4550270,863,寸辟 公公
6866021,2637,寸辟 公公
6894006,719,寸辟 公公
4003549,4765,寸辟 公公
6845180,783,寸辟 公公
2351687,799,寸辟 公公
6841002,702,寸辟 公公
6946691,2140,寸辟 公公
1014218,1698,寸辟 剧颇 公公
6834803,1648,拌鄂 寸辟 公公
2576904,654,寸辟 付疵 公公
5368061,1236,拌鄂 寸辟 公公
3807316,610,寸辟 坷捞 公公
6904014,940,拌鄂 寸辟 公公
6876144,5746,拌鄂 寸辟 公公
6923378,3807,寸辟 付疵 公公
6839259,669,寸辟 硅眠 公公
6834059,909,寸辟 坷捞 公公
6884680,1218,寸辟 坷捞 公公
6887654,1248,寸辟 剧颇 公公
6851844,1524,寸辟 剧颇 公公
6874300,11605,绊眠 寸辟 公公
6847173,916,寸辟 坷捞 公公
6850760,723,寸辟 坷捞 公公
5940050,631,寸辟 坷捞 公公
6841844,958,寸辟 坷捞 公公
3996134,804,寸辟 滚几 公公
6901726,656,寸辟
6898181,718,公公
4524377,980,公公
6883337,2334,公公
6871127,5031,寸辟
4523998,998,公公
6870856,1588,公公
4511333,679,寸辟 剧颇 坷捞 公公
6829843,861,公公
6895383,23170,寸辟
6927359,915,公公
6832878,1566,寸辟
6868886,2879,公公
4630659,1609,拌鄂 寸辟 坷捞 公公
6839355,995,公公
6869041,689,公公
6902562,1258,公公
6902497,634,公公
6902496,643,公公
6869652,3068,寸辟
6884986,720,公公
6884973,991,公公
6926668,735,公公
3257040,1873,公公
6926926,861,公公
3353664,3292,寸辟
6869698,3039,寸辟
6911250,1497,寸辟
6832885,1902,寸辟
6927171,613,公公
6884277,707,公公
6830682,658,公公
6939866,820,公公
6872551,1706,公公
6843418,8157,拌鄂 寸辟 坷捞 公公
4368782,1992,公公
3968531,922,寸辟
4343485,961,公公
6932769,2768,寸辟
3985917,1400,公公
6900294,1252,公公
6877329,1514,公公
6877392,845,寸辟
6881261,2358,寸辟 剧颇 滚几 公公
4273330,629,公公
6877961,2228,公公
6878156,1536,寸辟
6934137,1044,寸辟
6899995,4376,公公
4035244,1029,公公
6878598,963,寸辟
6935967,2509,寸辟 付疵 坷捞 公公
4037814,715,公公
6899767,1468,公公
6841176,1736,公公
6879510,791,寸辟
6840319,9329,寸辟 剧颇 坷捞 公公
3927413,677,公公
6876063,1554,公公
6898484,1493,寸辟 付疵 剧颇 公公
3659180,695,公公
6883153,986,公公
4492652,1317,公公
